Conection done
"1588169 1623684"
"1596565 1632166"
"1587020 1623016"
"1599014 1632342"
"1598419 1631947"
"1603965 1637800"
"1605118 1641904"
"1607493 1643878"
"1511254 1516936"
"1515693 1519359"
"1517673 1529539"
"1538421 1546835"
"1538402 1547790"
"1541757 1548385"
"1539089 1550634"
"1541192 1552833"
"1505466 1513671"
"1508650 1513822"
"1510988 1514050"
"1515808 1524054"
"1549552 1557992"
"1550886 1559838"
"1554322 1562751"
"1553566 1562762"
"1506519 1508987"
"1508580 1510946"
"1520177 1523172"
"1600681 1604115"
"1602394 1605924"
"1602511 1605967"
"1605709 1608974"
"1790373 1792681"
"1503592 1506862"
"1505138 1508022"
"1506483 1508754"
"1493135 1551598"
"1492507 1552706"
"1491251 1554299"
"1496503 1556664"
"1506118 1753590"
"1502574 2866810"
"1505859 2870528"
"1507942 2870645"
"1494661 2902533"
"1490760 2903157"
"1493186 2903201"
"1501489 2910135"
"1507443 3117542"
"1505868 4326163"
"1505255 4328892"
"1505156 4330393"
"1489603 4344888"
"1492710 4355094"
"1499561 4355609"
"1507433 4364924"
"1515589 4585309"
"1505254 5830387"
"1502671 5830368"
"555 5811773"
"490 5813063"
"1505409 5834045"
"1491596 5834758"
"397 5814293"
"449 5815783"
"474 5817354"
"455 5818456"
"450 5819868"
"376 5820738"
"1493163 5845838"
"1502077 5855532"
"1496457 5859213"
"1510586 6094089"
"1491713 6313670"
"1493666 6319233"
"1490831 6326061"
"1503775 6326652"
"1505944 6326785"
"1510794 6334555"
"1498248 6336650"
"1507058 6580717"
"1494532 5809218"
"1493925 5820480"
"1502176 5821899"
"1505389 5833116"
"1504671 5833131"
"1500124 5836991"
"1503711 5838577"
"1509853 6090799"
"1498645 5308979"
"1490724 5312841"
"1494410 5315443"
"1495265 5332750"
"1504115 5338760"
"1505679 5339051"
"1521383 5360369"
"1508996 5600144"
"1491206 4804559"
"1495878 4804915"
"1491073 4806051"
"1493851 4826817"
"1502113 4841025"
"1504110 4843515"
"1503182 4863410"
"1508767 5108872"
"1491727 4297929"
"1493105 4303032"
"1496349 4303995"
"1501487 4329257"
"1504826 4346624"
"1505455 4349419"
"1507522 4371821"
"1512762 4623291"
"1492549 5131465"
"1491530 5135127"
"1494335 5140318"
"1498877 5169321"
"1507376 5196966"
"1505631 5217083"
"1529933 5217053"
"1508810 5472056"
"1493480 6552828"
"1492388 6560356"
"1501107 6563607"
"1494223 6590337"
"1510641 6634307"
"1502592 6646360"
"1505026 6649043"
"1511041 6909903"
"1489577 8007928"
"1492068 8017893"
"1507993 8036545"
"1499079 8054036"
"1507573 8106002"
"1503922 8114624"
"1506802 8119765"
"1510614 8384391"
"1496094 9315023"
"418 9203758"
"311 9204863"
"319 9205943"
"338 9206965"
"340 9208041"
"1492827 9321172"
"314 9209090"
"381 9209760"
"313 9210230"
"1490595 9336980"
"1494006 9357827"
"1503385 9419300"
"1509191 9433757"
"1508696 9437652"
"1511456 9706238"
"1496747 9707215"
"1498454 9708162"
"1490861 9714709"
"1493826 9738846"
"1514022 9820496"
"1504525 9825243"
"1506202 9830711"
"1508123 10101520"
"1492399 9200361"
"1494059 9202523"
"1492335 9207690"
"1500257 9239770"
"1502736 9323798"
"1506184 9336984"
"1529764 9355411"
"1505606 9608003"
"1493160 8694405"
"1492334 8694941"
"1492357 8699787"
"1497947 8737942"
"1504951 8828991"
"1508841 8846254"
"1529907 8885521"
"1506917 9116400"
"1490183 8186151"
"1494680 8189340"
"1490693 8190459"
"1493700 8231530"
"1506509 8335459"
"1505535 8351712"
"1529521 8415008"
"1511511 8627983"
"1491749 7679907"
"1492863 7683403"
"1503058 7696066"
"1491437 7724266"
"1503258 7855481"
"1532583 7868614"
"1550956 7966395"
"1507316 8135829"
"1494274 9134713"
"1493716 9137785"
"1503056 9159528"
"1499001 9183536"
"1502979 9318903"
"1503504 9332542"
"1529230 9456198"
"1506370 9602702"
"1492026 10442375"
"1492322 10445062"
"1503043 10477819"
"1495727 10494065"
"1502984 10636081"
"1502490 10649326"
"1530278 10800488"
"1510428 10927320"

BREAK: (a)bort (c)ontinue (p)roc info (i)nfo (l)oaded
       (v)ersion (k)ill (D)b-tables (d)istribution
